Date of requirement,Region,Country,PET bottle capacity,Type,PET bottle weight (grams),Volume (Million Pieces)
1/3/2019,EUR,Belgium,44cl,Standard,14.20,69.14
1/3/2019,Asia,Korea,12Oz,Standard,13.00,64.30
1/3/2019,South America,Brasil,"56,8cl",Standard,18.20,11.45
1/3/2019,North America,US,19Oz,Standard,16.56,32.48
1/3/2019,North America,CA,50cl,Standard,14.60,14.52
1/4/2019,South America,Brasil,12Oz,Standard,13.25,70.47
1/4/2019,EUR,Germany,355ml,Standard,13.09,138.89
1/4/2019,South America,Paraguay,8oz Sleek,SLEEK,11.03,253.09
1/4/2019,South America,Peru,10 OZ,SLEEK,12.83,3.02
1/4/2019,South America,Paraguay,25oz,BIG CAN,24.66,44.02
1/4/2019,EUR,Germany,8 OZ,SLEEK,11.03,25.32
1/4/2019,South America,Argentina,11Oz,Standard,12.36,223.65
1/4/2019,Asia,Korea,8 OZ,SLEEK,11.03,155.62
1/4/2019,EUR,France,11 OZ,Standard,13.38,95.78
1/4/2019,South America,Paraguay,11 OZ,Standard,13.38,24.44
1/4/2019,South America,Colombia,24 OZ,Big Can,22.81,82.95
1/4/2019,South America,Panama,12Oz,Standard,13.00,11.56
1/5/2019,EUR,Spain,25cl,Slim,10.40,11.85
1/5/2019,EUR,Belgium,19Oz,Standard,16.56,48.39
1/5/2019,EUR,Spain,10.5Oz,Slim,12.85,1.57
1/5/2019,South America,Panama,9Oz,Sleek,11.12,43.19
1/5/2019,South America,Chile,8oz Sleek,SLEEK,11.03,41.53
1/5/2019,EUR,France,8 OZ,SLEEK,11.03,117.32
1/5/2019,EUR,UK,33cl,Standard,11.90,36.68
1/6/2019,North America,US,10 OZ,SLEEK,12.83,35.27
1/6/2019,South America,Argentina,25cl,Slim,10.40,100.49
1/6/2019,South America,Colombia,25oz,BIG CAN,24.66,152.43
1/6/2019,Asia,Korea,310ml,Sleek,12.26,6.30
1/6/2019,EUR,Portugal,16 OZ,STANDARD,16.08,36.68
1/6/2019,EUR,Germany,9Oz,Sleek,11.12,132.75
1/6/2019,North America,CA,24 OZ,Big Can,22.81,47.16
1/6/2019,South America,Paraguay,19Oz,Standard,16.56,241.30
1/7/2019,EUR,Spain,32oz,BIG CAN,27.55,18.69
1/7/2019,EUR,Spain,44cl,Standard,13.90,232.71
1/7/2019,EUR,Czech Republic,50cl,Standard,14.60,98.33
1/7/2019,EUR,Portugal,500ml,Standard,16.93,25.49
1/7/2019,North America,US,16Oz,Standard,15.00,117.15
1/7/2019,North America,CA,10.5Oz,Slim,12.85,160.94
1/7/2019,North America,US,12Oz,Standard,13.00,152.41
1/8/2019,South America,Panama,19Oz,Standard,16.56,110.39
1/8/2019,EUR,Spain,310ml,Sleek,12.26,49.91
1/8/2019,Asia,Korea,330ml,Standard,12.78,132.81
1/8/2019,EUR,Portugal,16 OZ,STANDARD,16.08,55.24
1/8/2019,EUR,Portugal,16 OZ,STANDARD,16.08,47.57
1/8/2019,South America,Peru,12Oz,Standard,13.00,25.16
1/8/2019,South America,Colombia,33cl,Standard,11.90,111.64
1/9/2019,EUR,Czech Republic,25 OZ,STANDARD,25.27,45.98
1/9/2019,South America,Argentina,12oz Sleek,SLEEK,13.79,25.35
1/9/2019,South America,Brasil,310ml,Sleek,12.26,6.22
1/9/2019,EUR,Netherlands,50cl,Standard,14.60,4.04
1/9/2019,Asia,China,"56,8cl",Standard,18.20,58.65
1/9/2019,EUR,France,44cl,Standard,13.90,8.53
1/9/2019,Asia,Korea,"56,8cl",Standard,18.20,59.43
1/9/2019,South America,Brasil,12Oz,Standard,13.00,67.47
1/9/2019,Asia,Japan,15cl,Slim,8.50,14.56
1/10/2019,EUR,Belgium,33cl,Sleek,2.50,167.82
1/10/2019,EUR,Spain,32oz,BIG CAN,27.55,20.78
1/10/2019,South America,Chile,"56,8cl",Standard,18.20,100.63
1/11/2019,North America,US,355ml,Standard,13.09,12.87
1/11/2019,EUR,Portugal,50cl,Standard,14.60,265.87
1/11/2019,South America,Chile,25oz,BIG CAN,24.66,55.88
1/11/2019,South America,Argentina,8oz Sleek,SLEEK,11.03,27.77
1/12/2019,South America,Argentina,25cl,Slim,10.40,13.82
1/12/2019,EUR,Portugal,11 OZ,Standard,13.38,61.47
1/12/2019,Asia,Korea,33cl,Standard,11.90,124.76
