Month,"PET : 
Poly Ethylene Terephthalate USD/MT","PTA : 
Pure Terephthalic Acid USD/MT","MEG:
MonoEthylene Glycol USD/MT","PX :
Paraxylene  USD/MT",Naphtha USD/MT,Ethylene USD/MT
5/10/2018,1200.00,916.94,1175.00,1020.00,614.00,1205.00
4/30/2018,1221.25,881.42,1105.00,1009.60,607.00,1188.00
3/30/2018,1167.00,863.87,1183.00,1020.00,576.00,1184.00
2/28/2018,1148.75,922.76,1173.00,1015.00,563.00,1240.00
1/31/2018,1103.75,908.50,1070.00,960.00,603.00,1209.00
12/29/2017,1045.63,846.51,1057.00,955.00,593.00,1175.00
11/30/2017,1015.50,815.73,1027.00,943.74,589.00,1220.00
10/31/2017,993.75,779.34,1100.00,894.18,530.00,1236.00
9/29/2017,1006.25,777.10,1023.00,865.00,511.00,1264.00
8/31/2017,959.00,804.17,983.00,855.00,467.00,1199.00
7/31/2017,938.13,773.90,940.00,820.00,426.00,1132.00
6/30/2017,903.50,718.98,863.00,833.80,414.00,1133.00
5/31/2017,892.50,706.67,932.00,859.68,447.00,1173.00
4/28/2017,931.88,718.66,1008.00,880.00,478.00,1233.00
3/31/2017,978.50,718.86,1120.00,950.00,469.00,1254.00
2/28/2017,1016.88,814.24,1067.00,945.00,516.00,1318.00
1/31/2017,969.38,822.20,1033.00,895.00,511.00,1312.00
12/30/2016,929.00,786.49,880.00,840.00,477.00,1326.00
11/30/2016,863.13,745.04,797.00,840.00,430.00,1341.00
10/31/2016,850.00,728.29,787.00,825.00,443.00,1244.00
9/30/2016,845.00,707.74,760.00,831.22,398.00,1183.00
8/31/2016,841.25,711.16,760.00,820.00,379.00,1145.00
7/29/2016,853.75,687.17,763.00,845.00,391.00,1147.00
6/30/2016,846.00,725.20,780.00,862.77,424.00,1111.00
5/31/2016,867.50,700.72,820.00,838.70,413.00,1105.00
4/29/2016,890.63,778.18,853.00,840.00,395.00,1173.00
3/31/2016,861.00,746.97,757.00,770.00,369.00,1160.00
2/29/2016,791.25,669.51,720.00,755.00,319.00,1107.00
1/29/2016,778.75,662.60,717.00,761.65,344.00,1094.00
12/31/2015,804.50,688.40,780.00,816.61,424.00,1091.00
11/30/2015,847.50,702.47,860.00,825.00,454.00,1122.00
10/30/2015,856.00,737.04,870.00,846.51,457.00,1182.00
9/30/2015,868.75,709.04,943.00,834.55,442.00,1174.00
8/31/2015,886.88,707.21,1013.00,840.00,437.00,1219.00
7/31/2015,956.50,737.03,1113.00,920.05,502.00,1360.00
6/30/2015,1021.25,807.29,1120.00,984.74,566.00,1381.00
5/29/2015,1072.50,808.79,1007.00,970.00,577.00,1420.00
4/30/2015,1007.00,855.83,950.00,964.10,548.00,1413.00
3/31/2015,945.00,754.01,903.00,896.23,528.00,1287.00
